Time (s),Location - X (cm),Location - Y (cm)
0.00,0.00,0.00
0.15,0.00,0.00
0.32,0.00,0.00
0.45,0.00,0.00
0.60,0.00,0.00
0.75,0.00,0.00
0.90,0.00,0.00
1.05,0.00,0.00
1.20,0.00,0.00
1.35,0.00,0.00
1.50,0.00,0.00
1.65,0.00,0.00
1.80,0.00,2.00
1.95,0.00,9.00
2.10,0.00,17.00
2.25,0.00,29.00
2.40,-1.00,44.00
2.55,-2.00,61.00
2.70,-2.00,80.00
2.85,-3.00,99.00
3.00,-4.00,120.00
3.15,-5.00,140.00
3.30,-6.00,160.00
3.45,-6.00,179.00
3.63,-7.00,199.00
3.75,-7.00,218.00
3.90,-8.00,238.00
4.05,-8.00,257.00
4.20,-9.00,276.00
4.35,-9.00,296.00
4.50,-10.00,315.00
4.65,-10.00,335.00
4.80,-11.00,355.00
4.95,-11.00,375.00
5.10,-11.00,395.00
5.25,-11.00,415.00
5.40,-10.00,434.00
5.55,-10.00,454.00
5.70,-10.00,474.00
5.85,-10.00,494.00
6.00,-10.00,513.00
6.15,-10.00,533.00
6.30,-10.00,553.00
6.45,-10.00,572.00
6.60,-10.00,592.00
6.75,-10.00,612.00
6.90,-10.00,632.00
7.06,-11.00,651.00
7.21,-11.00,671.00
7.36,-11.00,690.00
7.51,-12.00,710.00
7.67,-12.00,730.00
7.82,-12.00,744.00
7.97,-12.00,756.00
8.11,-12.00,768.00
8.26,-12.00,773.00
8.41,-12.00,778.00
8.56,-13.00,781.00
8.71,-13.00,783.00
8.86,-12.00,784.00
9.01,-12.00,785.00
9.17,-12.00,785.00
9.33,-12.00,785.00
9.46,-13.00,785.00
9.61,-12.00,785.00
9.76,-12.00,786.00
9.91,-12.00,787.00
10.06,-9.00,788.00
10.21,-2.00,790.00
10.36,8.00,790.00
10.55,23.00,790.00
10.66,39.00,790.00
10.81,55.00,790.00
10.96,71.00,790.00
11.11,89.00,790.00
11.26,107.00,790.00
11.41,125.00,790.00
11.56,143.00,790.00
11.71,160.00,790.00
11.87,178.00,790.00
12.01,196.00,790.00
12.16,213.00,790.00
12.31,231.00,790.00
12.48,248.00,790.00
12.61,266.00,790.00
12.76,284.00,790.00
12.92,302.00,790.00
13.08,320.00,790.00
13.21,338.00,790.00
13.36,356.00,791.00
13.51,372.00,791.00
13.66,381.00,791.00
13.81,392.00,791.00
13.96,400.00,791.00
14.11,405.00,790.00
14.27,408.00,790.00
14.41,410.00,790.00
14.56,411.00,791.00
14.71,410.00,791.00
14.87,410.00,790.00
15.03,410.00,790.00
15.19,411.00,790.00
15.32,411.00,790.00
15.47,410.00,790.00
15.62,411.00,790.00
15.79,412.00,785.00
15.93,413.00,780.00
16.07,413.00,771.00
16.23,413.00,756.00
16.38,412.00,738.00
16.53,412.00,721.00
16.68,412.00,701.00
16.83,412.00,681.00
16.98,411.00,661.00
17.13,411.00,640.00
17.28,412.00,619.00
17.43,412.00,599.00
17.60,412.00,579.00
17.73,412.00,559.00
17.88,413.00,539.00
18.03,413.00,519.00
18.18,413.00,499.00
18.33,413.00,478.00
18.48,414.00,458.00
18.63,414.00,438.00
18.78,414.00,418.00
18.93,414.00,398.00
19.08,415.00,378.00
19.27,415.00,357.00
19.38,415.00,337.00
19.53,416.00,318.00
19.68,416.00,297.00
19.83,417.00,277.00
19.98,418.00,257.00
20.13,419.00,237.00
20.28,420.00,217.00
20.43,421.00,197.00
20.58,422.00,177.00
20.73,423.00,157.00
20.88,423.00,137.00
21.03,424.00,116.00
21.18,424.00,96.00
21.33,424.00,76.00
21.48,424.00,56.00
21.63,424.00,43.00
21.78,424.00,31.00
21.93,424.00,20.00
22.08,423.00,14.00
22.23,423.00,10.00
22.38,422.00,7.00
22.53,423.00,5.00
22.68,424.00,4.00
22.83,424.00,5.00
22.98,423.00,5.00
23.13,423.00,4.00
23.28,424.00,4.00
23.43,424.00,4.00
23.63,423.00,3.00
23.73,422.00,3.00
23.88,415.00,2.00
24.04,409.00,2.00
24.18,398.00,2.00
24.33,384.00,2.00
24.49,368.00,2.00
24.64,352.00,2.00
24.79,334.00,2.00
24.95,316.00,2.00
25.10,297.00,2.00
25.28,279.00,3.00
25.39,262.00,3.00
25.54,244.00,3.00
25.69,227.00,3.00
25.84,209.00,3.00
25.99,191.00,3.00
26.14,173.00,3.00
26.30,155.00,3.00
26.45,137.00,3.00
26.59,120.00,3.00
26.75,101.00,3.00
26.89,84.00,3.00
27.05,66.00,3.00
27.19,48.00,2.00
27.34,33.00,2.00
27.49,25.00,3.00
27.64,12.00,2.00
27.81,6.00,2.00
27.94,1.00,2.00
28.09,-1.00,3.00
28.25,-3.00,3.00
28.39,-3.00,3.00
28.54,-3.00,2.00
28.70,-3.00,2.00
28.84,-3.00,3.00
29.00,-4.00,3.00
29.14,-4.00,2.00
29.37,-4.00,2.00
29.45,-3.00,2.00
29.59,-3.00,3.00
29.76,-4.00,3.00
29.89,-4.00,3.00
30.05,-4.00,2.00
30.20,-4.00,2.00
30.36,-4.00,3.00
30.50,-4.00,3.00
30.64,-4.00,2.00
30.79,-4.00,2.00
30.95,-4.00,2.00
31.09,-4.00,2.00
31.25,-4.00,3.00
31.39,-4.00,3.00
31.54,-4.00,2.00
31.69,-4.00,2.00
31.84,-4.00,2.00
32.00,-4.00,3.00
32.15,-4.00,3.00
32.31,-4.00,3.00
32.45,-4.00,2.00
32.62,-4.00,2.00
32.75,-4.00,2.00
32.90,-4.00,3.00
33.06,-4.00,3.00
33.21,-4.00,2.00
33.36,-4.00,2.00
33.51,-4.00,2.00
33.73,-4.00,2.00
33.81,-4.00,2.00
33.96,-4.00,2.00
34.11,-4.00,3.00
34.26,-4.00,3.00
34.41,-4.00,3.00
34.56,-4.00,3.00
34.71,-4.00,3.00
34.88,-4.00,3.00
35.01,-4.00,2.00
35.16,-4.00,2.00
35.31,-4.00,2.00
35.46,-4.00,2.00
35.61,-4.00,2.00
35.76,-4.00,2.00
35.91,-4.00,2.00
36.06,-4.00,3.00
36.21,-4.00,2.00
36.36,-4.00,2.00
36.51,-4.00,2.00
36.66,-4.00,2.00
36.81,-4.00,3.00
36.96,-4.00,3.00
37.11,-4.00,2.00
37.26,-4.00,2.00
37.41,-4.00,3.00
37.56,-4.00,3.00
37.71,-4.00,2.00
37.86,-4.00,2.00
38.01,-4.00,2.00
38.16,-4.00,3.00
38.31,-4.00,3.00
38.46,-4.00,2.00
38.62,-4.00,2.00
38.76,-4.00,2.00
38.91,-4.00,2.00
39.06,-4.00,2.00
39.28,-4.00,2.00
39.36,-4.00,2.00
39.51,-4.00,2.00
39.66,-4.00,2.00
39.81,-4.00,2.00
39.96,-4.00,2.00
40.11,-4.00,2.00
40.26,-4.00,2.00
40.41,-4.00,2.00
40.56,-4.00,2.00
40.71,-4.00,2.00
40.86,-4.00,2.00
41.01,-4.00,2.00
41.16,-4.00,2.00
41.31,-4.00,3.00
41.46,-4.00,2.00
41.61,-4.00,2.00
41.77,-4.00,2.00
41.92,-4.00,3.00
42.07,-4.00,2.00
42.23,-4.00,2.00
42.38,-4.00,3.00
42.53,-4.00,2.00
42.67,-4.00,2.00
42.83,-4.00,2.00
42.98,-4.00,2.00
43.12,-4.00,2.00
43.28,-4.00,2.00
43.42,-4.00,2.00
43.60,-4.00,2.00
43.72,-4.00,2.00
43.87,-4.00,2.00
44.02,-4.00,2.00
44.17,-4.00,2.00
44.33,-4.00,2.00
44.48,-4.00,2.00
44.64,-4.00,2.00
44.77,-4.00,2.00
44.92,-4.00,2.00
45.09,-4.00,2.00
45.23,-4.00,2.00
45.38,-4.00,2.00
45.53,-4.00,2.00
45.67,-4.00,2.00
45.82,-4.00,2.00
45.97,-4.00,2.00
46.12,-4.00,2.00
46.27,-4.00,2.00
46.42,-4.00,2.00
46.58,-4.00,2.00
46.73,-4.00,2.00
46.88,-4.00,2.00
47.04,-4.00,2.00
47.17,-4.00,2.00
47.33,-4.00,2.00
47.48,-4.00,2.00
47.64,-4.00,2.00
47.77,-4.00,2.00
47.92,-4.00,2.00
48.08,-4.00,2.00
